½»Ò×ÈÕÆÚ,ºÏÔ¼ÏµÁĞ,³É½»Á¿,³Ö²ÖÁ¿,³Ö²ÖÁ¿±ä»¯,³É½»¶î,ĞĞÈ¨Á¿,Òşº¬²¨¶¯ÂÊ,Òşº¬²¨¶¯ÂÊ(%)
2025/5/20,Ğ¡¼Æ,11465,59566,787,2501.27,0,,
2025/5/21,ru2506,3555,7355,130,93.952,0,0.292635,29.2635
2025/5/21,ru2507,42,362,20,9.504,0,0.205949,20.5949
2025/5/21,ru2509,9436,51745,806,2541.393,0,0.22395,22.395
2025/5/21,ru2601,178,1130,70,44.151,0,0.208985,20.8985
2025/5/21,Ğ¡¼Æ,13211,60592,1026,2689,0,,
2025/5/22,ru2506,4407,7723,368,83.995,0,0.279411,27.9411
2025/5/22,ru2507,91,422,60,9.214,0,0.234895,23.4895
2025/5/22,ru2509,8468,52843,1098,2158.871,0,0.21938,21.938
2025/5/22,ru2601,208,1186,56,39.827,0,0.207365,20.7365
2025/5/22,Ğ¡¼Æ,13174,62174,1582,2291.907,0,,
2025/5/23,ru2506,5107,7934,211,97.61,14,0.206455,20.6455
2025/5/23,ru2507,95,464,42,18.736,0,0.197901,19.7901
2025/5/23,ru2509,13317,53948,1105,2946.523,0,0.229293,22.9293
2025/5/23,ru2601,608,1424,238,162.098,0,0.208478,20.8478
2025/5/23,Ğ¡¼Æ,19127,63770,1596,3224.967,14,,
2025/5/26,ru2506,9480,0,-7934,305.241,768,0.295561,29.5561
2025/5/26,ru2507,397,645,181,54.76,0,0.212711,21.2711
2025/5/26,ru2509,19929,55523,1575,4847.438,0,0.233312,23.3312
